bucket_name,object_key,version_id,size,etag,last_modified,storage_class,metadata,is_latest
blue-590fe9e2,images/e84efe7f.bin,82c3c289-1e11-4455-b4f2-2e26f5be32d8,1725819,2dc05f0d9497499aad6b25ce0a7c3ca8,2024-12-03T23:06:36.626661,STANDARD,"{""content-type"": ""text/plain"", ""origin"": ""sync"", ""checksum"": ""9d68762b5150488a9258556ce5633b39""}",True
focus-d3aa532c,logs/3c0e6d77.bin,624d221d-a72d-4bf4-98ac-409471e27439,4196716,61b39f66e9c346988a0c2354e2f5c386,2025-02-05T23:06:36.626783,DEEP_ARCHIVE,"{""content-type"": ""application/json"", ""origin"": ""migration"", ""checksum"": ""577ab135f4ec46b89fb38f9012fbef71""}",False
industry-7526a29d,images/543d1b17.bin,8bce5760-2aa0-4bca-b113-1896cf7d9ba5,3285631,f2460ae5bebb4818b802b0c05a01f5be,2024-11-01T23:06:36.626902,DEEP_ARCHIVE,"{""content-type"": ""application/json"", ""origin"": ""sync"", ""checksum"": ""aaca66d3c5db4164bc632eeeb12ea437""}",False
blue-f2e900ec,images/fcc9aa03.bin,9a806751-62cd-4076-b220-9146e121288a,2157426,f2947d8c67f1491f956433a9e47791e1,2025-04-16T23:06:36.627005,INFREQUENT_ACCESS,"{""content-type"": ""text/plain"", ""origin"": ""migration"", ""checksum"": ""10b35367a22548f8beee22c853037d3c""}",False
live-5309f948,docs/ec93f719.bin,7113b8e4-22fc-4bb3-8b0c-d246cad7ac3f,4100354,b0917c129d7e41ee8c8df2c3ece95f8e,2024-12-19T23:06:36.627103,DEEP_ARCHIVE,"{""content-type"": ""text/plain"", ""origin"": ""migration"", ""checksum"": ""741a5db13b314c6db24f6352be8f75ec""}",False
hour-90a3fbbf,logs/bd0cbed7.bin,a48728ff-2a29-4eba-ba95-7675410a9cca,1564702,665d89b2b3b54957b57a4402305323e7,2024-11-16T23:06:36.627195,INFREQUENT_ACCESS,"{""content-type"": ""application/json"", ""origin"": ""migration"", ""checksum"": ""fe4e367787364417acb2fdc8b91545b6""}",False
pick-7674b3a6,logs/9bec98d0.bin,ec85dc10-52b1-4a66-894a-f7bf6c68aa05,2371253,b38f16228ec144ceb587e2f5b17bcbe7,2024-12-09T23:06:36.627295,DEEP_ARCHIVE,"{""content-type"": ""image/png"", ""origin"": ""sync"", ""checksum"": ""d2f5d28763644383bbf95465edf80df4""}",True
color-ffc93979,logs/8ba4006e.bin,fe547610-4d98-462e-a77a-0f262f305c0a,2048625,4026f2bf53a04370bdafefdbd11078ff,2025-02-09T23:06:36.627395,STANDARD,"{""content-type"": ""image/png"", ""origin"": ""migration"", ""checksum"": ""256743b585a84969888b49a9ddd1cac3""}",False
task-0f6789d0,docs/67a47378.bin,6215e308-22d6-4769-a337-de75fa673023,4689600,ee0726359ea8418caa830811bfd0a0c7,2024-09-28T23:06:36.627517,DEEP_ARCHIVE,"{""content-type"": ""application/json"", ""origin"": ""migration"", ""checksum"": ""d2f6c53222124754bde0507b585ee165""}",False
information-1e292ee8,logs/5b3641f4.bin,50e38131-9bfe-4e49-a46e-0c857c9e36b8,4661738,7ae88c8ccfd44fffb24ec4ffa1f82e50,2025-04-04T23:06:36.627638,INFREQUENT_ACCESS,"{""content-type"": ""text/plain"", ""origin"": ""migration"", ""checksum"": ""2448cd0f8c07462fb86b40cc171fae46""}",False
